bnf_section_name,month_year,total_prescriptions,people,year,population,pop_rate,pop_rate_1000
Antidepressant drugs,2015-01-01,270,231,2015,98927,0.0027292852305235175,2.7292852305235176
Antidepressant drugs,2015-02-01,294,245,2015,98927,0.002971888362125608,2.971888362125608
Antidepressant drugs,2015-03-01,328,266,2015,98927,0.003315576131895236,3.3155761318952357
Antidepressant drugs,2015-04-01,333,263,2015,98927,0.0033661184509790045,3.3661184509790045
Antidepressant drugs,2015-05-01,275,231,2015,98927,0.0027798275496072862,2.7798275496072864
Antidepressant drugs,2015-06-01,317,249,2015,98927,0.0032043830299109443,3.2043830299109444
Antidepressant drugs,2015-07-01,310,253,2015,98927,0.0031336237831936682,3.133623783193668
Antidepressant drugs,2015-08-01,274,241,2015,98927,0.0027697190857905326,2.7697190857905327
Antidepressant drugs,2015-09-01,318,260,2015,98927,0.0032144914937276984,3.2144914937276985
Antidepressant drugs,2015-10-01,331,263,2015,98927,0.0033459015233454972,3.345901523345497
Antidepressant drugs,2015-11-01,365,293,2015,98927,0.003689589293115125,3.6895892931151253
Antidepressant drugs,2015-12-01,372,282,2015,98927,0.0037603485398324016,3.7603485398324015
Antidepressant drugs,2016-01-01,319,264,2016,99042,0.00322085579855011,3.22085579855011
Antidepressant drugs,2016-02-01,357,287,2016,99042,0.003604531410916581,3.604531410916581
Antidepressant drugs,2016-03-01,393,297,2016,99042,0.003968013570000606,3.968013570000606
Antidepressant drugs,2016-04-01,350,287,2016,99042,0.0035338543244280204,3.5338543244280203
Antidepressant drugs,2016-05-01,400,311,2016,99042,0.004038690656489166,4.038690656489166
Antidepressant drugs,2016-06-01,382,294,2016,99042,0.003856949576947154,3.856949576947154
Antidepressant drugs,2016-07-01,341,277,2016,99042,0.003442983784657014,3.442983784657014
Antidepressant drugs,2016-08-01,370,302,2016,99042,0.003735788857252479,3.735788857252479
Antidepressant drugs,2016-09-01,364,295,2016,99042,0.003675208497405141,3.675208497405141
Antidepressant drugs,2016-10-01,345,285,2016,99042,0.003483370691221906,3.4833706912219062
Antidepressant drugs,2016-11-01,421,337,2016,99042,0.004250721915954847,4.2507219159548475
Antidepressant drugs,2016-12-01,414,329,2016,99042,0.004180044829466287,4.180044829466287
Antidepressant drugs,2017-01-01,376,316,2017,99041,0.003796407548389051,3.796407548389051
Antidepressant drugs,2017-02-01,395,327,2017,99041,0.003988247291525732,3.988247291525732
Antidepressant drugs,2017-03-01,436,340,2017,99041,0.004402217263557517,4.4022172635575165
Antidepressant drugs,2017-04-01,358,292,2017,99041,0.0036146646338385113,3.6146646338385113
Antidepressant drugs,2017-05-01,371,298,2017,99041,0.0037459234054583457,3.7459234054583455
Antidepressant drugs,2017-06-01,410,315,2017,99041,0.004139699720317848,4.139699720317848
Antidepressant drugs,2017-07-01,339,266,2017,99041,0.0034228248907018305,3.4228248907018304
Antidepressant drugs,2017-08-01,348,276,2017,99041,0.0035136963479771004,3.5136963479771004
Antidepressant drugs,2017-09-01,352,279,2017,99041,0.003554083662321665,3.554083662321665
Antidepressant drugs,2017-10-01,365,287,2017,99041,0.003685342433941499,3.685342433941499
Antidepressant drugs,2017-11-01,350,283,2017,99041,0.0035338900051493827,3.5338900051493827
Antidepressant drugs,2017-12-01,374,305,2017,99041,0.003776213891216769,3.7762138912167686
Antidepressant drugs,2018-01-01,382,289,2018,99437,0.0038416283677102083,3.8416283677102085
Antidepressant drugs,2018-02-01,327,265,2018,99437,0.0032885143357100476,3.2885143357100475
Antidepressant drugs,2018-03-01,377,300,2018,99437,0.003791345273892012,3.7913452738920124
Antidepressant drugs,2018-04-01,365,308,2018,99437,0.0036706658487283407,3.6706658487283406
Antidepressant drugs,2018-05-01,396,313,2018,99437,0.003982421030401159,3.982421030401159
Antidepressant drugs,2018-06-01,380,322,2018,99437,0.0038215151301829297,3.8215151301829295
Antidepressant drugs,2018-07-01,293,241,2018,99437,0.002946589297746312,2.946589297746312
Antidepressant drugs,2018-08-01,437,331,2018,99437,0.004394742399710369,4.394742399710369
Antidepressant drugs,2018-09-01,354,301,2018,99437,0.0035600430423283085,3.5600430423283087
Antidepressant drugs,2018-10-01,414,330,2018,99437,0.004163440168146666,4.163440168146666
Antidepressant drugs,2018-11-01,423,326,2018,99437,0.004253949737019419,4.253949737019419
Antidepressant drugs,2018-12-01,398,320,2018,99437,0.004002534267928437,4.002534267928437
Antidepressant drugs,2019-01-01,383,309,2019,100230,0.003821211214207323,3.821211214207323
Antidepressant drugs,2019-02-01,387,325,2019,100230,0.00386111942532176,3.86111942532176
Antidepressant drugs,2019-03-01,369,303,2019,100230,0.0036815324753067943,3.681532475306794
Antidepressant drugs,2019-04-01,369,303,2019,100230,0.0036815324753067943,3.681532475306794
Antidepressant drugs,2019-05-01,485,378,2019,100230,0.004838870597625462,4.838870597625462
Antidepressant drugs,2019-06-01,391,319,2019,100230,0.0039010276364361968,3.9010276364361967
Antidepressant drugs,2019-07-01,442,356,2019,100230,0.004409857328145266,4.409857328145266
Antidepressant drugs,2019-08-01,386,317,2019,100230,0.003851142372543151,3.851142372543151
Antidepressant drugs,2019-09-01,423,336,2019,100230,0.004220293325351691,4.220293325351691
Antidepressant drugs,2019-10-01,414,323,2019,100230,0.004130499850344208,4.130499850344209
Antidepressant drugs,2019-11-01,410,338,2019,100230,0.004090591639229772,4.090591639229772
Antidepressant drugs,2019-12-01,477,376,2019,100230,0.004759054175396587,4.759054175396588
Antidepressant drugs,2020-01-01,435,365,2020,100868,0.004312566919141849,4.312566919141849
Antidepressant drugs,2020-02-01,415,352,2020,100868,0.004114287980330729,4.1142879803307295
Antidepressant drugs,2020-03-01,570,419,2020,100868,0.005650949756116905,5.650949756116905
Antidepressant drugs,2020-04-01,412,330,2020,100868,0.004084546139509061,4.084546139509061
Antidepressant drugs,2020-05-01,421,353,2020,100868,0.004173771661974065,4.173771661974064
Antidepressant drugs,2020-06-01,440,346,2020,100868,0.004362136653844629,4.362136653844629
Antidepressant drugs,2020-07-01,450,354,2020,100868,0.004461276123250188,4.461276123250188
Antidepressant drugs,2020-08-01,427,347,2020,100868,0.004233255343617401,4.233255343617401
Antidepressant drugs,2020-09-01,458,359,2020,100868,0.004540587698774636,4.540587698774636
Antidepressant drugs,2020-10-01,471,370,2020,100868,0.004669469009001864,4.6694690090018645
Antidepressant drugs,2020-11-01,444,362,2020,100868,0.0044017924416068525,4.401792441606853
Antidepressant drugs,2020-12-01,444,362,2020,100868,0.0044017924416068525,4.401792441606853
Antidepressant drugs,2021-01-01,522,418,2021,100868,0.005175080302970219,5.175080302970219
Antidepressant drugs,2021-02-01,432,358,2021,100868,0.004282825078320181,4.2828250783201804
Antidepressant drugs,2021-03-01,580,434,2021,100868,0.005750089225522465,5.750089225522466
Antidepressant drugs,2021-04-01,536,414,2021,100868,0.005313875560138002,5.313875560138002
Antidepressant drugs,2021-05-01,442,357,2021,100868,0.004381964547725741,4.381964547725741
CNS Stimulants and drugs used for ADHD,2015-01-01,946,586,2015,98927,0.009562606770649065,9.562606770649065
CNS Stimulants and drugs used for ADHD,2015-02-01,863,568,2015,98927,0.008723604273858501,8.723604273858502
CNS Stimulants and drugs used for ADHD,2015-03-01,1007,616,2015,98927,0.010179223063471044,10.179223063471044
CNS Stimulants and drugs used for ADHD,2015-04-01,897,573,2015,98927,0.00906729204362813,9.06729204362813
CNS Stimulants and drugs used for ADHD,2015-05-01,969,603,2015,98927,0.0097951014384344,9.7951014384344
CNS Stimulants and drugs used for ADHD,2015-06-01,1039,630,2015,98927,0.010502693905607164,10.502693905607165
CNS Stimulants and drugs used for ADHD,2015-07-01,868,507,2015,98927,0.00877414659294227,8.77414659294227
CNS Stimulants and drugs used for ADHD,2015-08-01,910,572,2015,98927,0.009198702073245928,9.198702073245927
CNS Stimulants and drugs used for ADHD,2015-09-01,1039,649,2015,98927,0.010502693905607164,10.502693905607165
CNS Stimulants and drugs used for ADHD,2015-10-01,987,597,2015,98927,0.009977053787135969,9.977053787135969
CNS Stimulants and drugs used for ADHD,2015-11-01,1025,636,2015,98927,0.010361175412172612,10.361175412172612
CNS Stimulants and drugs used for ADHD,2015-12-01,1024,623,2015,98927,0.010351066948355858,10.351066948355857
CNS Stimulants and drugs used for ADHD,2016-01-01,951,633,2016,99042,0.009601987035802992,9.601987035802992
CNS Stimulants and drugs used for ADHD,2016-02-01,1027,662,2016,99042,0.010369338260535934,10.369338260535933
CNS Stimulants and drugs used for ADHD,2016-03-01,1104,695,2016,99042,0.0111467862119101,11.146786211910099
CNS Stimulants and drugs used for ADHD,2016-04-01,1024,658,2016,99042,0.010339048080612265,10.339048080612265
CNS Stimulants and drugs used for ADHD,2016-05-01,1058,694,2016,99042,0.010682336786413844,10.682336786413844
CNS Stimulants and drugs used for ADHD,2016-06-01,1093,681,2016,99042,0.011035722218856646,11.035722218856646
CNS Stimulants and drugs used for ADHD,2016-07-01,868,553,2016,99042,0.00876395872458149,8.76395872458149
CNS Stimulants and drugs used for ADHD,2016-08-01,1121,697,2016,99042,0.011318430564810888,11.318430564810889
CNS Stimulants and drugs used for ADHD,2016-09-01,1144,709,2016,99042,0.011550655277559016,11.550655277559015
CNS Stimulants and drugs used for ADHD,2016-10-01,969,632,2016,99042,0.009783728115345005,9.783728115345005
CNS Stimulants and drugs used for ADHD,2016-11-01,1174,727,2016,99042,0.011853557076795702,11.853557076795703
CNS Stimulants and drugs used for ADHD,2016-12-01,1072,685,2016,99042,0.010823690959390965,10.823690959390964
CNS Stimulants and drugs used for ADHD,2017-01-01,1142,740,2017,99041,0.011530578245373128,11.530578245373128
CNS Stimulants and drugs used for ADHD,2017-02-01,1024,668,2017,99041,0.01033915247220848,10.339152472208479
CNS Stimulants and drugs used for ADHD,2017-03-01,1229,761,2017,99041,0.012409002332367403,12.409002332367404
CNS Stimulants and drugs used for ADHD,2017-04-01,998,667,2017,99041,0.01007663492896881,10.076634928968812
CNS Stimulants and drugs used for ADHD,2017-05-01,1268,798,2017,99041,0.012802778647226907,12.802778647226907
CNS Stimulants and drugs used for ADHD,2017-06-01,1161,719,2017,99041,0.01172241798850981,11.72241798850981
CNS Stimulants and drugs used for ADHD,2017-07-01,958,601,2017,99041,0.009672761785523168,9.672761785523168
CNS Stimulants and drugs used for ADHD,2017-08-01,1189,742,2017,99041,0.01200512918892176,12.00512918892176
CNS Stimulants and drugs used for ADHD,2017-09-01,1113,719,2017,99041,0.011237770216375037,11.237770216375036
CNS Stimulants and drugs used for ADHD,2017-10-01,1140,732,2017,99041,0.011510384588200846,11.510384588200846
CNS Stimulants and drugs used for ADHD,2017-11-01,1243,789,2017,99041,0.01255035793257338,12.55035793257338
CNS Stimulants and drugs used for ADHD,2017-12-01,1083,716,2017,99041,0.010934865358790805,10.934865358790805
CNS Stimulants and drugs used for ADHD,2018-01-01,1172,770,2018,99437,0.011786357190985247,11.786357190985248
CNS Stimulants and drugs used for ADHD,2018-02-01,1106,720,2018,99437,0.011122620352585055,11.122620352585054
CNS Stimulants and drugs used for ADHD,2018-03-01,1203,791,2018,99437,0.012098112372658065,12.098112372658065
CNS Stimulants and drugs used for ADHD,2018-04-01,1177,757,2018,99437,0.011836640284803444,11.836640284803444
CNS Stimulants and drugs used for ADHD,2018-05-01,1314,816,2018,99437,0.013214397055422026,13.214397055422026
CNS Stimulants and drugs used for ADHD,2018-06-01,1222,793,2018,99437,0.012289188129167211,12.289188129167211
CNS Stimulants and drugs used for ADHD,2018-07-01,883,576,2018,99437,0.008879994368293492,8.879994368293492
CNS Stimulants and drugs used for ADHD,2018-08-01,1464,839,2018,99437,0.01472288986996792,14.72288986996792
CNS Stimulants and drugs used for ADHD,2018-09-01,1186,773,2018,99437,0.011927149853676197,11.927149853676196
CNS Stimulants and drugs used for ADHD,2018-10-01,1310,786,2018,99437,0.013174170580367468,13.174170580367468
CNS Stimulants and drugs used for ADHD,2018-11-01,1325,842,2018,99437,0.013325019861822059,13.325019861822058
CNS Stimulants and drugs used for ADHD,2018-12-01,1213,777,2018,99437,0.012198678560294458,12.198678560294457
CNS Stimulants and drugs used for ADHD,2019-01-01,1282,843,2019,100230,0.012790581662176993,12.790581662176992
CNS Stimulants and drugs used for ADHD,2019-02-01,1198,800,2019,100230,0.01195250922877382,11.952509228773819
CNS Stimulants and drugs used for ADHD,2019-03-01,1121,737,2019,100230,0.011184276164820912,11.184276164820911
CNS Stimulants and drugs used for ADHD,2019-04-01,1121,737,2019,100230,0.011184276164820912,11.184276164820911
CNS Stimulants and drugs used for ADHD,2019-05-01,1594,941,2019,100230,0.015903422129103062,15.903422129103062
CNS Stimulants and drugs used for ADHD,2019-06-01,1280,820,2019,100230,0.012770627556619774,12.770627556619774
CNS Stimulants and drugs used for ADHD,2019-07-01,1147,719,2019,100230,0.01144367953706475,11.44367953706475
CNS Stimulants and drugs used for ADHD,2019-08-01,1249,800,2019,100230,0.01246133892048289,12.46133892048289
CNS Stimulants and drugs used for ADHD,2019-09-01,1358,866,2019,100230,0.013548837673351292,13.548837673351292
CNS Stimulants and drugs used for ADHD,2019-10-01,1340,833,2019,100230,0.013369250723336326,13.369250723336325
CNS Stimulants and drugs used for ADHD,2019-11-01,1376,882,2019,100230,0.013728424623366257,13.728424623366257
CNS Stimulants and drugs used for ADHD,2019-12-01,1379,871,2019,100230,0.013758355781702085,13.758355781702084
CNS Stimulants and drugs used for ADHD,2020-01-01,1503,955,2020,100868,0.014900662251655629,14.900662251655628
CNS Stimulants and drugs used for ADHD,2020-02-01,1326,865,2020,100868,0.013145893643177222,13.145893643177223
CNS Stimulants and drugs used for ADHD,2020-03-01,1605,971,2020,100868,0.015911884839592338,15.911884839592338
CNS Stimulants and drugs used for ADHD,2020-04-01,1016,688,2020,100868,0.010072570091604869,10.072570091604868
CNS Stimulants and drugs used for ADHD,2020-05-01,1061,703,2020,100868,0.010518697703929889,10.518697703929888
CNS Stimulants and drugs used for ADHD,2020-06-01,1201,764,2020,100868,0.011906650275607725,11.906650275607726
CNS Stimulants and drugs used for ADHD,2020-07-01,1137,728,2020,100868,0.011272157671412143,11.272157671412142
CNS Stimulants and drugs used for ADHD,2020-08-01,1356,867,2020,100868,0.0134433120513939,13.4433120513939
CNS Stimulants and drugs used for ADHD,2020-09-01,1395,884,2020,100868,0.013829955982075584,13.829955982075584
CNS Stimulants and drugs used for ADHD,2020-10-01,1360,860,2020,100868,0.013482967839156125,13.482967839156125
CNS Stimulants and drugs used for ADHD,2020-11-01,1205,813,2020,100868,0.011946306063369948,11.94630606336995
CNS Stimulants and drugs used for ADHD,2020-12-01,1205,813,2020,100868,0.011946306063369948,11.94630606336995
CNS Stimulants and drugs used for ADHD,2021-01-01,1432,891,2021,100868,0.014196772018876156,14.196772018876155
CNS Stimulants and drugs used for ADHD,2021-02-01,1104,733,2021,100868,0.010944997422373795,10.944997422373795
CNS Stimulants and drugs used for ADHD,2021-03-01,1648,984,2021,100868,0.016338184558036244,16.338184558036243
CNS Stimulants and drugs used for ADHD,2021-04-01,1498,931,2021,100868,0.01485109251695285,14.85109251695285
CNS Stimulants and drugs used for ADHD,2021-05-01,1295,873,2021,100868,0.012838561288019986,12.838561288019987
Drugs used in psychoses and related disorders,2015-01-01,95,80,2015,98927,9.603040625916079e-4,0.9603040625916079
Drugs used in psychoses and related disorders,2015-02-01,88,75,2015,98927,8.895448158743316e-4,0.8895448158743315
Drugs used in psychoses and related disorders,2015-03-01,126,93,2015,98927,0.0012736664409109747,1.2736664409109748
