school_ages,month_year,total_prescriptions,people,year,population,pop_rate,pop_rate_100,pop_rate_1000,proportion
Pre-Schoolers (2-4),2015-01-01,43,34,2015,19661,0.002187070850923147,0.21870708509231473,2.1870708509231473,0.0017293118356136515
Pre-Schoolers (2-4),2015-02-01,44,34,2015,19661,0.0022379329637353135,0.22379329637353135,2.2379329637353136,0.0017293118356136515
Pre-Schoolers (2-4),2015-03-01,40,33,2015,19661,0.0020344845124866486,0.20344845124866487,2.0344845124866486,0.0016784497228014852
Pre-Schoolers (2-4),2015-04-01,46,45,2015,19661,0.002339657189359646,0.23396571893596463,2.339657189359646,0.00228879507654748
Pre-Schoolers (2-4),2015-05-01,42,36,2015,19661,0.0021362087381109813,0.21362087381109812,2.136208738110981,0.0018310360612379837
Pre-Schoolers (2-4),2015-06-01,49,39,2015,19661,0.002492243527796145,0.24922435277961447,2.4922435277961448,0.0019836223996744823
Pre-Schoolers (2-4),2015-07-01,41,37,2015,19661,0.002085346625298815,0.2085346625298815,2.085346625298815,0.00188189817405015
Pre-Schoolers (2-4),2015-08-01,43,40,2015,19661,0.002187070850923147,0.21870708509231473,2.1870708509231473,0.0020344845124866486
Pre-Schoolers (2-4),2015-09-01,46,41,2015,19661,0.002339657189359646,0.23396571893596463,2.339657189359646,0.002085346625298815
Pre-Schoolers (2-4),2015-10-01,45,40,2015,19661,0.00228879507654748,0.228879507654748,2.28879507654748,0.0020344845124866486
Pre-Schoolers (2-4),2015-11-01,43,40,2015,19661,0.002187070850923147,0.21870708509231473,2.1870708509231473,0.0020344845124866486
Pre-Schoolers (2-4),2015-12-01,45,36,2015,19661,0.00228879507654748,0.228879507654748,2.28879507654748,0.0018310360612379837
Pre-Schoolers (2-4),2016-01-01,40,38,2016,19246,0.002078353943676608,0.2078353943676608,2.078353943676608,0.0019744362464927776
Pre-Schoolers (2-4),2016-02-01,44,39,2016,19246,0.002286189338044269,0.22861893380442688,2.286189338044269,0.002026395095084693
Pre-Schoolers (2-4),2016-03-01,50,43,2016,19246,0.0025979424295957602,0.25979424295957604,2.59794242959576,0.002234230489452354
Pre-Schoolers (2-4),2016-04-01,37,30,2016,19246,0.0019224773979008626,0.19224773979008625,1.9224773979008625,0.001558765457757456
Pre-Schoolers (2-4),2016-05-01,45,41,2016,19246,0.0023381481866361843,0.23381481866361845,2.338148186636184,0.0021303127922685234
Pre-Schoolers (2-4),2016-06-01,55,44,2016,19246,0.002857736672555336,0.2857736672555336,2.857736672555336,0.002286189338044269
Pre-Schoolers (2-4),2016-07-01,36,32,2016,19246,0.0018705185493089473,0.18705185493089474,1.8705185493089473,0.0016626831549412864
Pre-Schoolers (2-4),2016-08-01,47,41,2016,19246,0.0024420658838200143,0.24420658838200143,2.4420658838200144,0.0021303127922685234
Pre-Schoolers (2-4),2016-09-01,50,38,2016,19246,0.0025979424295957602,0.25979424295957604,2.59794242959576,0.0019744362464927776
Pre-Schoolers (2-4),2016-10-01,45,38,2016,19246,0.0023381481866361843,0.23381481866361845,2.338148186636184,0.0019744362464927776
Pre-Schoolers (2-4),2016-11-01,42,36,2016,19246,0.0021822716408604385,0.21822716408604384,2.1822716408604386,0.0018705185493089473
Pre-Schoolers (2-4),2016-12-01,44,38,2016,19246,0.002286189338044269,0.22861893380442688,2.286189338044269,0.0019744362464927776
Pre-Schoolers (2-4),2017-01-01,39,36,2017,18947,0.0020583733572597245,0.20583733572597246,2.0583733572597245,0.0019000369451628227
Pre-Schoolers (2-4),2017-02-01,45,42,2017,18947,0.0023750461814535284,0.23750461814535284,2.3750461814535284,0.0022167097693566265
Pre-Schoolers (2-4),2017-03-01,47,38,2017,18947,0.0024806037895181293,0.24806037895181293,2.4806037895181294,0.002005594553227424
Pre-Schoolers (2-4),2017-04-01,38,32,2017,18947,0.002005594553227424,0.20055945532274239,2.0055945532274237,0.00168892172903362
Pre-Schoolers (2-4),2017-05-01,38,33,2017,18947,0.002005594553227424,0.20055945532274239,2.0055945532274237,0.0017417005330659207
Pre-Schoolers (2-4),2017-06-01,48,39,2017,18947,0.00253338259355043,0.253338259355043,2.53338259355043,0.0020583733572597245
Pre-Schoolers (2-4),2017-07-01,41,35,2017,18947,0.002163930965324326,0.21639309653243258,2.163930965324326,0.001847258141130522
Pre-Schoolers (2-4),2017-08-01,45,33,2017,18947,0.0023750461814535284,0.23750461814535284,2.3750461814535284,0.0017417005330659207
Pre-Schoolers (2-4),2017-09-01,44,38,2017,18947,0.0023222673774212278,0.23222673774212277,2.3222673774212277,0.002005594553227424
Pre-Schoolers (2-4),2017-10-01,47,38,2017,18947,0.0024806037895181293,0.24806037895181293,2.4806037895181294,0.002005594553227424
Pre-Schoolers (2-4),2017-11-01,46,39,2017,18947,0.002427824985485829,0.24278249854858291,2.427824985485829,0.0020583733572597245
Pre-Schoolers (2-4),2017-12-01,39,35,2017,18947,0.0020583733572597245,0.20583733572597246,2.0583733572597245,0.001847258141130522
Pre-Schoolers (2-4),2018-01-01,45,38,2018,18950,0.00237467018469657,0.23746701846965698,2.3746701846965697,0.0020052770448548813
Pre-Schoolers (2-4),2018-02-01,41,38,2018,18950,0.0021635883905013194,0.21635883905013192,2.1635883905013196,0.0020052770448548813
Pre-Schoolers (2-4),2018-03-01,54,44,2018,18950,0.002849604221635884,0.2849604221635884,2.849604221635884,0.0023218997361477574
Pre-Schoolers (2-4),2018-04-01,44,37,2018,18950,0.0023218997361477574,0.23218997361477575,2.3218997361477576,0.0019525065963060687
Pre-Schoolers (2-4),2018-05-01,40,39,2018,18950,0.0021108179419525065,0.21108179419525064,2.1108179419525066,0.002058047493403694
Pre-Schoolers (2-4),2018-06-01,43,36,2018,18950,0.0022691292875989446,0.22691292875989447,2.2691292875989446,0.001899736147757256
Pre-Schoolers (2-4),2018-07-01,33,28,2018,18950,0.001741424802110818,0.1741424802110818,1.741424802110818,0.0014775725593667547
Pre-Schoolers (2-4),2018-08-01,56,46,2018,18950,0.0029551451187335093,0.2955145118733509,2.955145118733509,0.0024274406332453827
Pre-Schoolers (2-4),2018-09-01,39,31,2018,18950,0.002058047493403694,0.2058047493403694,2.058047493403694,0.0016358839050131925
Pre-Schoolers (2-4),2018-10-01,43,34,2018,18950,0.0022691292875989446,0.22691292875989447,2.2691292875989446,0.0017941952506596306
Pre-Schoolers (2-4),2018-11-01,50,39,2018,18950,0.002638522427440633,0.2638522427440633,2.638522427440633,0.002058047493403694
Pre-Schoolers (2-4),2018-12-01,50,45,2018,18950,0.002638522427440633,0.2638522427440633,2.638522427440633,0.00237467018469657
Pre-Schoolers (2-4),2019-01-01,50,41,2019,18762,0.002664961091568063,0.2664961091568063,2.664961091568063,0.002185268095085812
Pre-Schoolers (2-4),2019-02-01,45,41,2019,18762,0.002398464982411257,0.2398464982411257,2.398464982411257,0.002185268095085812
Pre-Schoolers (2-4),2019-03-01,31,27,2019,18762,0.001652275876772199,0.1652275876772199,1.652275876772199,0.001439078989446754
Pre-Schoolers (2-4),2019-04-01,31,27,2019,18762,0.001652275876772199,0.1652275876772199,1.652275876772199,0.001439078989446754
Pre-Schoolers (2-4),2019-05-01,57,46,2019,18762,0.003038055644387592,0.30380556443875917,3.038055644387592,0.002451764204242618
Pre-Schoolers (2-4),2019-06-01,45,41,2019,18762,0.002398464982411257,0.2398464982411257,2.398464982411257,0.002185268095085812
Pre-Schoolers (2-4),2019-07-01,46,39,2019,18762,0.002451764204242618,0.2451764204242618,2.451764204242618,0.002078669651423089
Pre-Schoolers (2-4),2019-08-01,18,17,2019,18762,9.593859929645027e-4,0.09593859929645027,0.9593859929645027,9.060867711331415e-4
Pre-Schoolers (2-4),2019-09-01,27,21,2019,18762,0.001439078989446754,0.1439078989446754,1.439078989446754,0.0011192836584585865
Pre-Schoolers (2-4),2019-10-01,21,17,2019,18762,0.0011192836584585865,0.11192836584585865,1.1192836584585866,9.060867711331415e-4
Pre-Schoolers (2-4),2019-11-01,26,20,2019,18762,0.0013857797676153929,0.1385779767615393,1.385779767615393,0.0010659844366272253
Pre-Schoolers (2-4),2019-12-01,23,17,2019,18762,0.001225882102121309,0.1225882102121309,1.225882102121309,9.060867711331415e-4
Pre-Schoolers (2-4),2020-01-01,23,20,2020,18443,0.001247085615138535,0.1247085615138535,1.247085615138535,0.0010844222740335086
Pre-Schoolers (2-4),2020-02-01,18,15,2020,18443,9.759800466301577e-4,0.09759800466301577,0.9759800466301577,8.133167055251315e-4
Pre-Schoolers (2-4),2020-03-01,32,22,2020,18443,0.0017350756384536137,0.17350756384536137,1.7350756384536137,0.0011928645014368596
Pre-Schoolers (2-4),2020-04-01,28,20,2020,18443,0.001518191183646912,0.1518191183646912,1.518191183646912,0.0010844222740335086
Pre-Schoolers (2-4),2020-05-01,21,15,2020,18443,0.0011386433877351842,0.11386433877351843,1.1386433877351843,8.133167055251315e-4
Pre-Schoolers (2-4),2020-06-01,18,13,2020,18443,9.759800466301577e-4,0.09759800466301577,0.9759800466301577,7.048744781217806e-4
Pre-Schoolers (2-4),2020-07-01,16,15,2020,18443,8.675378192268069e-4,0.08675378192268068,0.8675378192268068,8.133167055251315e-4
Pre-Schoolers (2-4),2020-08-01,20,16,2020,18443,0.0010844222740335086,0.10844222740335085,1.0844222740335085,8.675378192268069e-4
Pre-Schoolers (2-4),2020-09-01,38,34,2020,18443,0.0020604023206636664,0.20604023206636665,2.0604023206636666,0.0018435178658569647
Pre-Schoolers (2-4),2020-10-01,52,39,2020,18443,0.0028194979124871226,0.2819497912487123,2.8194979124871224,0.002114623434365342
Pre-Schoolers (2-4),2020-11-01,28,27,2020,18443,0.001518191183646912,0.1518191183646912,1.518191183646912,0.0014639700699452367
Pre-Schoolers (2-4),2020-12-01,28,27,2020,18443,0.001518191183646912,0.1518191183646912,1.518191183646912,0.0014639700699452367
Pre-Schoolers (2-4),2021-01-01,34,31,2021,18443,0.0018435178658569647,0.18435178658569648,1.8435178658569646,0.0016808545247519384
Pre-Schoolers (2-4),2021-02-01,32,30,2021,18443,0.0017350756384536137,0.17350756384536137,1.7350756384536137,0.001626633411050263
Pre-Schoolers (2-4),2021-03-01,39,32,2021,18443,0.002114623434365342,0.2114623434365342,2.114623434365342,0.0017350756384536137
Pre-Schoolers (2-4),2021-04-01,35,31,2021,18443,0.00189773897955864,0.189773897955864,1.8977389795586401,0.0016808545247519384
Pre-Schoolers (2-4),2021-05-01,20,20,2021,18443,0.0010844222740335086,0.10844222740335085,1.0844222740335085,0.0010844222740335086
Lower Primary (5-7),2015-01-01,179,126,2015,20083,0.008913011004332023,0.8913011004332023,8.913011004332024,0.006273963053328686
Lower Primary (5-7),2015-02-01,194,134,2015,20083,0.009659911367823532,0.9659911367823533,9.659911367823533,0.006672309913857492
Lower Primary (5-7),2015-03-01,210,140,2015,20083,0.010456605088881143,1.0456605088881143,10.456605088881142,0.006971070059254096
Lower Primary (5-7),2015-04-01,203,141,2015,20083,0.010108051585918439,1.0108051585918438,10.108051585918439,0.007020863416820196
Lower Primary (5-7),2015-05-01,204,135,2015,20083,0.01015784494348454,1.015784494348454,10.15784494348454,0.006722103271423592
Lower Primary (5-7),2015-06-01,246,152,2015,20083,0.012249165961260768,1.2249165961260768,12.249165961260768,0.007568590350047304
Lower Primary (5-7),2015-07-01,236,143,2015,20083,0.01175123238559976,1.1751232385599761,11.75123238559976,0.007120450131952397
Lower Primary (5-7),2015-08-01,204,131,2015,20083,0.01015784494348454,1.015784494348454,10.15784494348454,0.006522929841159189
Lower Primary (5-7),2015-09-01,276,167,2015,20083,0.013742966688243789,1.374296668824379,13.742966688243788,0.008315490713538813
Lower Primary (5-7),2015-10-01,214,139,2015,20083,0.010655778519145545,1.0655778519145545,10.655778519145546,0.006921276701687995
Lower Primary (5-7),2015-11-01,223,156,2015,20083,0.011103918737240452,1.1103918737240452,11.103918737240452,0.007767763780311706
Lower Primary (5-7),2015-12-01,242,154,2015,20083,0.012049992530996366,1.2049992530996365,12.049992530996366,0.007668177065179505
Lower Primary (5-7),2016-01-01,234,164,2016,20159,0.011607718636837145,1.1607718636837145,11.607718636837145,0.008135324172826032
Lower Primary (5-7),2016-02-01,240,166,2016,20159,0.011905352448038097,1.1905352448038098,11.905352448038098,0.008234535443226351
Lower Primary (5-7),2016-03-01,276,184,2016,20159,0.013691155315243812,1.3691155315243813,13.691155315243812,0.009127436876829207
Lower Primary (5-7),2016-04-01,261,184,2016,20159,0.01294707078724143,1.294707078724143,12.94707078724143,0.009127436876829207
Lower Primary (5-7),2016-05-01,268,188,2016,20159,0.013294310233642541,1.3294310233642541,13.294310233642541,0.009325859417629843
Lower Primary (5-7),2016-06-01,247,172,2016,20159,0.012252591894439209,1.2252591894439209,12.252591894439208,0.008532169254427303
Lower Primary (5-7),2016-07-01,227,152,2016,20159,0.011260479190436034,1.1260479190436035,11.260479190436033,0.007540056550424128
Lower Primary (5-7),2016-08-01,292,187,2016,20159,0.014484845478446352,1.448484547844635,14.484845478446351,0.009276253782429683
Lower Primary (5-7),2016-09-01,302,186,2016,20159,0.01498090183044794,1.498090183044794,14.980901830447939,0.009226648147229526
Lower Primary (5-7),2016-10-01,272,176,2016,20159,0.013492732774443177,1.3492732774443177,13.492732774443176,0.008730591795227938
Lower Primary (5-7),2016-11-01,308,198,2016,20159,0.015278535641648891,1.5278535641648892,15.278535641648892,0.00982191576963143
Lower Primary (5-7),2016-12-01,280,172,2016,20159,0.013889577856044447,1.3889577856044448,13.889577856044447,0.008532169254427303
Lower Primary (5-7),2017-01-01,325,210,2017,19910,0.016323455549974886,1.6323455549974886,16.323455549974884,0.01054746358613762
Lower Primary (5-7),2017-02-01,277,180,2017,19910,0.013912606730286289,1.391260673028629,13.912606730286289,0.009040683073832245
Lower Primary (5-7),2017-03-01,305,193,2017,19910,0.01531893520843797,1.5318935208437972,15.31893520843797,0.009693621295831241
Lower Primary (5-7),2017-04-01,262,172,2017,19910,0.013159216474133602,1.3159216474133602,13.159216474133602,0.008638874937217478
Lower Primary (5-7),2017-05-01,321,209,2017,19910,0.016122551481667503,1.6122551481667504,16.122551481667504,0.010497237569060774
Lower Primary (5-7),2017-06-01,273,184,2017,19910,0.013711702661978905,1.3711702661978904,13.711702661978904,0.009241587142139629
Lower Primary (5-7),2017-07-01,249,167,2017,19910,0.012506278252134606,1.2506278252134606,12.506278252134607,0.008387744851833249
Lower Primary (5-7),2017-08-01,304,188,2017,19910,0.015268709191361125,1.5268709191361125,15.268709191361125,0.009442491210447011
Lower Primary (5-7),2017-09-01,284,180,2017,19910,0.014264188849824208,1.4264188849824209,14.264188849824208,0.009040683073832245
Lower Primary (5-7),2017-10-01,272,175,2017,19910,0.01366147664490206,1.366147664490206,13.66147664490206,0.008789552988448015
Lower Primary (5-7),2017-11-01,308,189,2017,19910,0.015469613259668509,1.5469613259668509,15.46961325966851,0.009492717227523857
Lower Primary (5-7),2017-12-01,298,169,2017,19910,0.01496735308890005,1.496735308890005,14.96735308890005,0.008488196885986942
Lower Primary (5-7),2018-01-01,282,175,2018,19541,0.014431195946983265,1.4431195946983266,14.431195946983266,0.008955529399723657
Lower Primary (5-7),2018-02-01,271,174,2018,19541,0.013868276956143493,1.3868276956143493,13.868276956143493,0.008904354946010952
Lower Primary (5-7),2018-03-01,274,176,2018,19541,0.014021800317281613,1.4021800317281614,14.021800317281613,0.009006703853436365
Lower Primary (5-7),2018-04-01,269,162,2018,19541,0.01376592804871808,1.376592804871808,13.76592804871808,0.008290261501458472
Lower Primary (5-7),2018-05-01,301,187,2018,19541,0.015403510567524691,1.5403510567524692,15.403510567524691,0.009569622844276137
Lower Primary (5-7),2018-06-01,282,179,2018,19541,0.014431195946983265,1.4431195946983266,14.431195946983266,0.009160227214574485
Lower Primary (5-7),2018-07-01,214,142,2018,19541,0.010951333094519216,1.0951333094519216,10.951333094519216,0.00726677242720434
Lower Primary (5-7),2018-08-01,325,198,2018,19541,0.01663169745662965,1.663169745662965,16.631697456629652,0.01013254183511591
Lower Primary (5-7),2018-09-01,282,185,2018,19541,0.014431195946983265,1.4431195946983266,14.431195946983266,0.009467273936850724
Lower Primary (5-7),2018-10-01,300,178,2018,19541,0.015352336113811985,1.5352336113811986,15.352336113811985,0.009109052760861778
Lower Primary (5-7),2018-11-01,303,196,2018,19541,0.015505859474950106,1.5505859474950106,15.505859474950105,0.010030192927690498
Lower Primary (5-7),2018-12-01,247,160,2018,19541,0.012640090067038534,1.2640090067038534,12.640090067038534,0.00818791259403306
Lower Primary (5-7),2019-01-01,268,183,2019,19218,0.0139452596524092,1.3945259652409199,13.945259652409199,0.009522322822354042
Lower Primary (5-7),2019-02-01,253,176,2019,19218,0.013164741388281819,1.316474138828182,13.164741388281819,0.009158080965761265
Lower Primary (5-7),2019-03-01,214,151,2019,19218,0.01113539390155063,1.113539390155063,11.13539390155063,0.007857217192215632
Lower Primary (5-7),2019-04-01,214,151,2019,19218,0.01113539390155063,1.113539390155063,11.13539390155063,0.007857217192215632
Lower Primary (5-7),2019-05-01,316,200,2019,19218,0.016442918097616818,1.6442918097616819,16.44291809761682,0.010406910188365074
Lower Primary (5-7),2019-06-01,257,173,2019,19218,0.01337287959204912,1.337287959204912,13.37287959204912,0.00900197731293579
Lower Primary (5-7),2019-07-01,228,160,2019,19218,0.011863877614736186,1.1863877614736185,11.863877614736186,0.00832552815069206
Lower Primary (5-7),2019-08-01,161,108,2019,19218,0.008377562701633885,0.8377562701633885,8.3775627016338845,0.00561973150171714
Lower Primary (5-7),2019-09-01,152,109,2019,19218,0.007909251743157457,0.7909251743157456,7.909251743157457,0.005671766052658966
Lower Primary (5-7),2019-10-01,153,103,2019,19218,0.007961286294099281,0.7961286294099281,7.961286294099281,0.005359558747008013
Lower Primary (5-7),2019-11-01,154,112,2019,19218,0.008013320845041107,0.8013320845041108,8.013320845041108,0.005827869705484442
Lower Primary (5-7),2019-12-01,157,110,2019,19218,0.008169424497866583,0.8169424497866583,8.169424497866583,0.005723800603600791
Lower Primary (5-7),2020-01-01,180,128,2020,19052,0.009447826999790049,0.9447826999790049,9.447826999790049,0.006718454755406256
Lower Primary (5-7),2020-02-01,156,112,2020,19052,0.008188116733151375,0.8188116733151375,8.188116733151375,0.005878647910980474
Lower Primary (5-7),2020-03-01,235,144,2020,19052,0.012334663027503674,1.2334663027503674,12.334663027503673,0.007558261599832038
Lower Primary (5-7),2020-04-01,188,132,2020,19052,0.00986773042200294,0.9867730422002939,9.86773042200294,0.006928406466512702
Lower Primary (5-7),2020-05-01,162,112,2020,19052,0.008503044299811044,0.8503044299811043,8.503044299811043,0.005878647910980474
Lower Primary (5-7),2020-06-01,179,125,2020,19052,0.009395339072013438,0.9395339072013438,9.395339072013437,0.006560990972076422
Lower Primary (5-7),2020-07-01,184,126,2020,19052,0.009657778710896493,0.9657778710896493,9.657778710896494,0.006613478899853034
Lower Primary (5-7),2020-08-01,180,129,2020,19052,0.009447826999790049,0.9447826999790049,9.447826999790049,0.006770942683182868
Lower Primary (5-7),2020-09-01,272,178,2020,19052,0.014276716355238295,1.4276716355238295,14.276716355238296,0.009342851144236825
Lower Primary (5-7),2020-10-01,319,199,2020,19052,0.01674364896073903,1.674364896073903,16.74364896073903,0.010445097627545665
Lower Primary (5-7),2020-11-01,266,177,2020,19052,0.013961788788578627,1.3961788788578626,13.961788788578627,0.009290363216460214
Lower Primary (5-7),2020-12-01,266,177,2020,19052,0.013961788788578627,1.3961788788578626,13.961788788578627,0.009290363216460214
Lower Primary (5-7),2021-01-01,356,234,2021,19052,0.01868570228847365,1.868570228847365,18.68570228847365,0.012282175099727063
Lower Primary (5-7),2021-02-01,267,189,2021,19052,0.014014276716355238,1.4014276716355238,14.014276716355239,0.00992021834977955
Lower Primary (5-7),2021-03-01,423,266,2021,19052,0.022202393449506613,2.220239344950661,22.202393449506612,0.013961788788578627
Lower Primary (5-7),2021-04-01,330,215,2021,19052,0.017321016166281754,1.7321016166281753,17.321016166281755,0.011284904471971446
Lower Primary (5-7),2021-05-01,288,212,2021,19052,0.015116523199664077,1.5116523199664076,15.116523199664076,0.011127440688641613
Upper Primary (8-11),2015-01-01,561,339,2015,23910,0.023462986198243413,2.346298619824341,23.462986198243414,0.014178168130489334
Upper Primary (8-11),2015-02-01,508,323,2015,23910,0.02124634044332915,2.124634044332915,21.24634044332915,0.013508992053534086
Upper Primary (8-11),2015-03-01,641,357,2015,23910,0.026808866583019657,2.680886658301966,26.808866583019658,0.01493099121706399
Upper Primary (8-11),2015-04-01,571,333,2015,23910,0.023881221246340442,2.388122124634044,23.88122124634044,0.013927227101631117
Upper Primary (8-11),2015-05-01,590,349,2015,23910,0.0246758678377248,2.46758678377248,24.675867837724798,0.014596403178586365
Upper Primary (8-11),2015-06-01,622,350,2015,23910,0.0260142199916353,2.60142199916353,26.0142199916353,0.014638226683396068
Upper Primary (8-11),2015-07-01,569,314,2015,23910,0.023797574236721037,2.3797574236721037,23.797574236721037,0.01313258051024676
Upper Primary (8-11),2015-08-01,588,339,2015,23910,0.024592220828105395,2.4592220828105393,24.592220828105393,0.014178168130489334
Upper Primary (8-11),2015-09-01,648,381,2015,23910,0.027101631116687577,2.710163111668758,27.101631116687578,0.015934755332496862
Upper Primary (8-11),2015-10-01,648,373,2015,23910,0.027101631116687577,2.710163111668758,27.101631116687578,0.01560016729401924
Upper Primary (8-11),2015-11-01,680,382,2015,23910,0.028439983270598077,2.8439983270598077,28.439983270598077,0.015976578837306566
Upper Primary (8-11),2015-12-01,685,392,2015,23910,0.028649100794646592,2.8649100794646594,28.649100794646593,0.016394813885403595
Upper Primary (8-11),2016-01-01,679,387,2016,24864,0.027308558558558557,2.7308558558558556,27.308558558558556,0.015564671814671815
Upper Primary (8-11),2016-02-01,713,409,2016,24864,0.028675997425997427,2.867599742599743,28.675997425997426,0.0164494851994852
Upper Primary (8-11),2016-03-01,729,427,2016,24864,0.02931949806949807,2.931949806949807,29.31949806949807,0.017173423423423425
Upper Primary (8-11),2016-04-01,661,387,2016,24864,0.026584620334620335,2.6584620334620332,26.584620334620336,0.015564671814671815
Upper Primary (8-11),2016-05-01,712,423,2016,24864,0.028635778635778635,2.8635778635778637,28.635778635778635,0.017012548262548263
Upper Primary (8-11),2016-06-01,785,443,2016,24864,0.03157175032175032,3.1571750321750325,31.571750321750322,0.01781692406692407
Upper Primary (8-11),2016-07-01,595,352,2016,24864,0.02393018018018018,2.393018018018018,23.93018018018018,0.014157014157014158
Upper Primary (8-11),2016-08-01,763,437,2016,24864,0.030686936936936936,3.0686936936936937,30.686936936936934,0.017575611325611324
Upper Primary (8-11),2016-09-01,763,443,2016,24864,0.030686936936936936,3.0686936936936937,30.686936936936934,0.01781692406692407
Upper Primary (8-11),2016-10-01,658,427,2016,24864,0.026463963963963964,2.6463963963963963,26.463963963963963,0.017173423423423425
Upper Primary (8-11),2016-11-01,862,463,2016,24864,0.034668597168597166,3.466859716859717,34.66859716859717,0.01862129987129987
Upper Primary (8-11),2016-12-01,769,451,2016,24864,0.030928249678249677,3.0928249678249675,30.928249678249678,0.01813867438867439
Upper Primary (8-11),2017-01-01,768,445,2017,25675,0.02991236611489776,2.991236611489776,29.91236611489776,0.017332035053554042
Upper Primary (8-11),2017-02-01,726,437,2017,25675,0.02827653359298929,2.827653359298929,28.27653359298929,0.017020447906523857
Upper Primary (8-11),2017-03-01,850,486,2017,25675,0.033106134371957155,3.3106134371957157,33.106134371957154,0.01892891918208374
Upper Primary (8-11),2017-04-01,716,432,2017,25675,0.02788704965920156,2.788704965920156,27.88704965920156,0.01682570593962999
Upper Primary (8-11),2017-05-01,873,507,2017,25675,0.034001947419668936,3.4001947419668936,34.00194741966894,0.019746835443037975
Upper Primary (8-11),2017-06-01,837,463,2017,25675,0.032599805258033104,3.2599805258033103,32.59980525803311,0.018033106134371958
Upper Primary (8-11),2017-07-01,709,417,2017,25675,0.027614410905550148,2.7614410905550146,27.614410905550148,0.016241480038948392
Upper Primary (8-11),2017-08-01,883,495,2017,25675,0.03439143135345667,3.4391431353456667,34.39143135345667,0.019279454722492696
Upper Primary (8-11),2017-09-01,780,467,2017,25675,0.030379746835443037,3.0379746835443036,30.379746835443036,0.01818889970788705
Upper Primary (8-11),2017-10-01,817,477,2017,25675,0.03182083739045764,3.182083739045764,31.820837390457644,0.01857838364167478
Upper Primary (8-11),2017-11-01,882,506,2017,25675,0.034352482960077896,3.4352482960077895,34.35248296007789,0.0197078870496592
Upper Primary (8-11),2017-12-01,808,489,2017,25675,0.03147030185004868,3.1470301850048683,31.470301850048685,0.01904576436222006
Upper Primary (8-11),2018-01-01,916,508,2018,26313,0.03481169003914415,3.4811690039144154,34.81169003914415,0.019306046440922736
Upper Primary (8-11),2018-02-01,791,472,2018,26313,0.030061186485767492,3.006118648576749,30.061186485767493,0.01793790141755026
Upper Primary (8-11),2018-03-01,893,507,2018,26313,0.03393759738532284,3.3937597385322844,33.937597385322846,0.019268042412495724
