sex,month_year,prescriptions,people,prop_prescriptions,prop_people,year,population,rate,rate_1000
F,2015-01-01,462,332,0.24574468085106382,0.280168776371308,2015,48101,0.00960478992120746,9.60478992120746
F,2015-02-01,442,318,0.24803591470258138,0.27943760984182775,2015,48101,0.009188998149726617,9.188998149726617
F,2015-03-01,549,351,0.2647058823529412,0.2837510105092967,2015,48101,0.011413484127149124,11.413484127149124
F,2015-04-01,501,345,0.262992125984252,0.29336734693877553,2015,48101,0.010415583875595102,10.415583875595102
F,2015-05-01,464,314,0.24421052631578946,0.2699914015477214,2015,48101,0.009646369098355544,9.646369098355544
F,2015-06-01,507,330,0.24599708879184862,0.27071369975389664,2015,48101,0.010540321407039355,10.540321407039356
F,2015-07-01,466,314,0.25284861638632666,0.2899353647276085,2015,48101,0.009687948275503629,9.68794827550363
F,2015-08-01,478,344,0.2568511552928533,0.2970639032815199,2015,48101,0.009937423338392133,9.937423338392133
F,2015-09-01,528,362,0.2484705882352941,0.279320987654321,2015,48101,0.010976902767094239,10.97690276709424
F,2015-10-01,504,335,0.2481536189069424,0.2782392026578073,2015,48101,0.010477952641317229,10.477952641317229
F,2015-11-01,559,374,0.26170411985018727,0.28858024691358025,2015,48101,0.011621380012889544,11.621380012889544
F,2015-12-01,533,356,0.24271402550091076,0.27532869296210366,2015,48101,0.01108085070996445,11.08085070996445
F,2016-01-01,547,357,0.26553398058252425,0.27912431587177483,2016,48280,0.011329743164871583,11.329743164871584
F,2016-02-01,534,370,0.2483720930232558,0.27798647633358375,2016,48280,0.011060480530240266,11.060480530240266
F,2016-03-01,615,397,0.265658747300216,0.28418038654259126,2016,48280,0.012738193869096935,12.738193869096936
F,2016-04-01,563,378,0.2655660377358491,0.28442437923250563,2016,48280,0.011661143330571666,11.661143330571665
F,2016-05-01,613,407,0.2731729055258467,0.29238505747126436,2016,48280,0.012696768848384424,12.696768848384425
F,2016-06-01,648,406,0.2751592356687898,0.28958630527817403,2016,48280,0.013421706710853356,13.421706710853355
F,2016-07-01,557,359,0.28875064800414724,0.30501274426508074,2016,48280,0.011536868268434135,11.536868268434135
F,2016-08-01,660,415,0.27989821882951654,0.2912280701754386,2016,48280,0.013670256835128418,13.670256835128418
F,2016-09-01,658,409,0.2794055201698514,0.29048295454545453,2016,48280,0.013628831814415907,13.628831814415907
F,2016-10-01,567,381,0.2670748940178992,0.2811808118081181,2016,48280,0.011743993371996686,11.743993371996686
F,2016-11-01,667,431,0.2619795758051846,0.28733333333333333,2016,48280,0.013815244407622204,13.815244407622204
F,2016-12-01,713,457,0.2954828014919188,0.31517241379310346,2016,48280,0.014768019884009942,14.768019884009941
F,2017-01-01,671,444,0.2725426482534525,0.2924901185770751,2017,48192,0.013923472775564409,13.92347277556441
F,2017-02-01,648,439,0.2854625550660793,0.30571030640668523,2017,48192,0.013446215139442231,13.44621513944223
F,2017-03-01,769,465,0.29084720121028745,0.29865125240847784,2017,48192,0.015957005312084993,15.957005312084993
F,2017-04-01,614,405,0.2830797602581835,0.29475982532751094,2017,48192,0.012740703851261621,12.740703851261621
F,2017-05-01,671,426,0.2641732283464567,0.2813738441215324,2017,48192,0.013923472775564409,13.92347277556441
F,2017-06-01,700,436,0.28112449799196787,0.29599456890699255,2017,48192,0.014525232403718459,14.525232403718459
F,2017-07-01,590,371,0.2801519468186135,0.2914375490966222,2017,48192,0.01224269588313413,12.242695883134129
F,2017-08-01,645,408,0.25987107171635776,0.2802197802197802,2017,48192,0.013383964143426295,13.383964143426295
F,2017-09-01,616,390,0.26403771967423917,0.273876404494382,2017,48192,0.012782204515272245,12.782204515272245
F,2017-10-01,676,428,0.28003314001657,0.29436038514442914,2017,48192,0.01402722443559097,14.02722443559097
F,2017-11-01,670,413,0.2646129541864139,0.27314814814814814,2017,48192,0.013902722443559097,13.902722443559096
F,2017-12-01,656,431,0.271523178807947,0.2956104252400549,2017,48192,0.013612217795484728,13.612217795484728
F,2018-01-01,705,446,0.27865612648221344,0.2940013183915623,2018,48446,0.01455228501837097,14.55228501837097
F,2018-02-01,606,402,0.25997425997426,0.2776243093922652,2018,48446,0.012508772654089088,12.508772654089087
F,2018-03-01,690,439,0.2648752399232246,0.2812299807815503,2018,48446,0.014242661932873714,14.242661932873714
F,2018-04-01,637,423,0.2597879282218597,0.28465679676985195,2018,48446,0.013148660364116748,13.148660364116749
F,2018-05-01,718,453,0.2666171555885629,0.28383458646616544,2018,48446,0.014820625025801924,14.820625025801924
F,2018-06-01,654,441,0.2618094475580464,0.28525226390685643,2018,48446,0.013499566527680303,13.499566527680303
F,2018-07-01,505,329,0.267478813559322,0.2828890799656062,2018,48446,0.010423977211740907,10.423977211740906
F,2018-08-01,845,483,0.27435064935064934,0.28870292887029286,2018,48446,0.017442100483012014,17.442100483012016
F,2018-09-01,638,426,0.2582995951417004,0.2804476629361422,2018,48446,0.013169301903149898,13.169301903149899
F,2018-10-01,742,442,0.26903553299492383,0.28516129032258064,2018,48446,0.015316021962597532,15.316021962597532
F,2018-11-01,794,482,0.2844858473665353,0.29336579427875836,2018,48446,0.016389381992321348,16.389381992321347
F,2018-12-01,674,433,0.2559817698442841,0.27863577863577865,2018,48446,0.013912397308343311,13.91239730834331
F,2019-01-01,691,444,0.2546057479734709,0.26714801444043323,2019,48824,0.01415287563493364,14.15287563493364
F,2019-02-01,688,451,0.26697710516103995,0.2809968847352025,2019,48824,0.014091430444043913,14.091430444043914
F,2019-03-01,621,407,0.2615838247683235,0.27914951989026066,2019,48824,0.012719154514173357,12.719154514173356
F,2019-04-01,621,407,0.2615838247683235,0.27914951989026066,2019,48824,0.012719154514173357,12.719154514173356
F,2019-05-01,852,536,0.25888787602552416,0.2886375875067313,2019,48824,0.017450434212682286,17.450434212682286
F,2019-06-01,730,451,0.27107315261789827,0.2790841584158416,2019,48824,0.014951663116500083,14.951663116500082
F,2019-07-01,696,452,0.27873448137765316,0.2971729125575279,2019,48824,0.014255284286416517,14.255284286416517
F,2019-08-01,556,363,0.2650142993326978,0.27313769751693,2019,48824,0.011387842044895952,11.387842044895953
F,2019-09-01,597,386,0.2741046831955923,0.2813411078717201,2019,48824,0.012227592987055546,12.227592987055546
F,2019-10-01,594,386,0.2731034482758621,0.2874162323157111,2019,48824,0.01216614779616582,12.16614779616582
F,2019-11-01,568,387,0.2611494252873563,0.27841726618705037,2019,48824,0.011633622808454858,11.633622808454858
F,2019-12-01,640,424,0.2864816472694718,0.30007077140835103,2019,48824,0.013108307389808291,13.10830738980829
F,2020-01-01,612,420,0.2647058823529412,0.285132382892057,2020,49168,0.012447120078099576,12.447120078099577
F,2020-02-01,596,411,0.28462273161413565,0.29718004338394793,2020,49168,0.012121705174096973,12.121705174096974
F,2020-03-01,731,475,0.2727611940298508,0.2970606629143214,2020,49168,0.01486739342661894,14.86739342661894
F,2020-04-01,597,394,0.31738437001594894,0.3182552504038772,2020,49168,0.012142043605597137,12.142043605597136
F,2020-05-01,561,379,0.2972972972972973,0.309640522875817,2020,49168,0.011409860071591279,11.409860071591279
F,2020-06-01,619,400,0.29322595926101375,0.3076923076923077,2020,49168,0.012589489098600717,12.589489098600717
F,2020-07-01,624,399,0.30453879941434847,0.3114754098360656,2020,49168,0.01269118125610153,12.69118125610153
F,2020-08-01,632,422,0.27890556045895853,0.29366736256089077,2020,49168,0.01285388870810283,12.853888708102831
F,2020-09-01,764,491,0.2705382436260623,0.2927847346451998,2020,49168,0.015538561666124308,15.538561666124307
F,2020-10-01,817,519,0.2811424638678596,0.30297723292469353,2020,49168,0.01661649853563293,16.616498535632932
F,2020-11-01,754,490,0.2933852140077821,0.30265596046942556,2020,49168,0.015335177351122681,15.335177351122681
F,2020-12-01,754,490,0.2933852140077821,0.30265596046942556,2020,49168,0.015335177351122681,15.335177351122681
F,2021-01-01,1036,593,0.31064467766116943,0.31128608923884515,2021,49168,0.021070615034168565,21.070615034168565
F,2021-02-01,788,523,0.30901960784313726,0.32464307883302296,2021,49168,0.016026684022128212,16.02668402212821
F,2021-03-01,1095,637,0.2907594264471588,0.3063973063973064,2021,49168,0.022270582492678166,22.270582492678166
F,2021-04-01,942,592,0.28772144166157604,0.3084940072954664,2021,49168,0.01915880247315327,19.15880247315327
F,2021-05-01,850,537,0.3038970325348588,0.3082663605051665,2021,49168,0.0172876667751383,17.2876667751383
M,2015-01-01,1418,853,0.7542553191489362,0.719831223628692,2015,50826,0.027899106756384528,27.899106756384526
M,2015-02-01,1340,820,0.7519640852974186,0.7205623901581723,2015,50826,0.02636445913508834,26.36445913508834
M,2015-03-01,1525,886,0.7352941176470589,0.7162489894907034,2015,50826,0.030004328493290836,30.004328493290835
M,2015-04-01,1404,831,0.7370078740157481,0.7066326530612245,2015,50826,0.027623657183331367,27.623657183331368
M,2015-05-01,1436,849,0.7557894736842106,0.7300085984522786,2015,50826,0.02825325620745288,28.25325620745288
M,2015-06-01,1554,889,0.7540029112081513,0.7292863002461034,2015,50826,0.030574902608900955,30.574902608900956
M,2015-07-01,1377,769,0.7471513836136734,0.7100646352723915,2015,50826,0.02709243300672884,27.09243300672884
M,2015-08-01,1383,814,0.7431488447071467,0.7029360967184801,2015,50826,0.027210482823751624,27.210482823751622
M,2015-09-01,1597,934,0.7515294117647059,0.720679012345679,2015,50826,0.03142092629756424,31.42092629756424
M,2015-10-01,1527,869,0.7518463810930576,0.7217607973421927,2015,50826,0.03004367843229843,30.04367843229843
M,2015-11-01,1577,922,0.7382958801498127,0.7114197530864198,2015,50826,0.031027426907488293,31.027426907488294
M,2015-12-01,1663,937,0.7572859744990893,0.7246713070378964,2015,50826,0.03271947428481486,32.71947428481486
M,2016-01-01,1513,922,0.7344660194174757,0.7208756841282252,2016,50762,0.029805760214333555,29.805760214333556
M,2016-02-01,1616,961,0.7516279069767442,0.7220135236664162,2016,50762,0.031834837082857254,31.834837082857252
M,2016-03-01,1700,1000,0.734341252699784,0.7158196134574087,2016,50762,0.033489618218352314,33.48961821835231
M,2016-04-01,1557,951,0.7344339622641509,0.7155756207674944,2016,50762,0.030672550332926204,30.672550332926203
M,2016-05-01,1631,985,0.7268270944741533,0.7076149425287356,2016,50762,0.03213033371419566,32.13033371419566
M,2016-06-01,1707,996,0.7248407643312101,0.7104136947218259,2016,50762,0.03362751664631023,33.627516646310234
M,2016-07-01,1372,818,0.7112493519958528,0.6949872557349193,2016,50762,0.02702809187975257,27.02809187975257
M,2016-08-01,1698,1010,0.7201017811704835,0.7087719298245614,2016,50762,0.03345021866750719,33.450218667507194
M,2016-09-01,1697,999,0.7205944798301486,0.7095170454545454,2016,50762,0.03343051889208463,33.43051889208463
M,2016-10-01,1556,974,0.7329251059821008,0.718819188191882,2016,50762,0.030652850557503643,30.652850557503644
M,2016-11-01,1879,1069,0.7380204241948154,0.7126666666666667,2016,50762,0.03701587801899058,37.015878018990584
M,2016-12-01,1700,993,0.7045171985080813,0.6848275862068965,2016,50762,0.033489618218352314,33.48961821835231
M,2017-01-01,1791,1074,0.7274573517465476,0.7075098814229249,2017,50849,0.03522193160140809,35.22193160140809
M,2017-02-01,1622,997,0.7145374449339207,0.6942896935933147,2017,50849,0.03189836574957226,31.898365749572264
M,2017-03-01,1875,1092,0.7091527987897126,0.7013487475915221,2017,50849,0.0368738814922614,36.873881492261404
M,2017-04-01,1555,969,0.7169202397418165,0.7052401746724891,2017,50849,0.030580739050915455,30.580739050915454
M,2017-05-01,1869,1088,0.7358267716535433,0.7186261558784677,2017,50849,0.036755885071486166,36.75588507148617
M,2017-06-01,1790,1037,0.7188755020080321,0.7040054310930075,2017,50849,0.035202265531278885,35.20226553127888
M,2017-07-01,1516,902,0.7198480531813866,0.7085624509033779,2017,50849,0.02981376231587642,29.81376231587642
M,2017-08-01,1837,1048,0.7401289282836422,0.7197802197802198,2017,50849,0.03612657082735157,36.12657082735157
M,2017-09-01,1717,1034,0.7359622803257608,0.726123595505618,2017,50849,0.03376664241184684,33.76664241184684
M,2017-10-01,1738,1026,0.71996685998343,0.7056396148555708,2017,50849,0.03417962988456017,34.17962988456017
M,2017-11-01,1862,1099,0.735387045813586,0.7268518518518519,2017,50849,0.03661822258058172,36.61822258058172
M,2017-12-01,1760,1027,0.7284768211920529,0.7043895747599451,2017,50849,0.034612283427402704,34.6122834274027
M,2018-01-01,1825,1071,0.7213438735177866,0.7059986816084377,2018,50991,0.03579062971897001,35.79062971897001
M,2018-02-01,1725,1046,0.7400257400257401,0.7223756906077348,2018,50991,0.03382949932341001,33.82949932341001
M,2018-03-01,1915,1122,0.7351247600767754,0.7187700192184497,2018,50991,0.03755564707497402,37.55564707497402
M,2018-04-01,1815,1063,0.7402120717781403,0.715343203230148,2018,50991,0.03559451667941401,35.594516679414014
M,2018-05-01,1975,1143,0.7333828444114371,0.7161654135338346,2018,50991,0.038732325312310016,38.73232531231002
M,2018-06-01,1844,1105,0.7381905524419535,0.7147477360931436,2018,50991,0.03616324449412642,36.16324449412642
M,2018-07-01,1383,834,0.732521186440678,0.7171109200343938,2018,50991,0.02712243337059481,27.12243337059481
M,2018-08-01,2235,1190,0.7256493506493507,0.7112970711297071,2018,50991,0.043831264340766014,43.83126434076601
M,2018-09-01,1832,1093,0.7417004048582996,0.7195523370638578,2018,50991,0.035927908846659216,35.927908846659214
M,2018-10-01,2016,1108,0.7309644670050761,0.7148387096774194,2018,50991,0.03953638877448962,39.536388774489616
M,2018-11-01,1997,1161,0.7155141526334647,0.7066342057212416,2018,50991,0.03916377399933321,39.16377399933321
M,2018-12-01,1959,1121,0.7440182301557159,0.7213642213642214,2018,50991,0.03841854444902042,38.418544449020416
M,2019-01-01,2023,1218,0.7453942520265291,0.7328519855595668,2019,51406,0.03935338287359452,39.35338287359452
M,2019-02-01,1889,1154,0.73302289483896,0.7190031152647975,2019,51406,0.03674668326654476,36.746683266544764
M,2019-03-01,1753,1051,0.7384161752316765,0.7208504801097394,2019,51406,0.034101077695210674,34.10107769521068
M,2019-04-01,1753,1051,0.7384161752316765,0.7208504801097394,2019,51406,0.034101077695210674,34.10107769521068
M,2019-05-01,2439,1321,0.7411121239744758,0.7113624124932687,2019,51406,0.04744582344473408,47.44582344473408
M,2019-06-01,1963,1165,0.7289268473821018,0.7209158415841584,2019,51406,0.03818620394506478,38.186203945064776
M,2019-07-01,1801,1069,0.7212655186223468,0.702827087442472,2019,51406,0.03503482083803447,35.03482083803447
M,2019-08-01,1542,966,0.7349857006673022,0.7268623024830699,2019,51406,0.02999649846321441,29.99649846321441
M,2019-09-01,1581,986,0.7258953168044077,0.7186588921282799,2019,51406,0.030755164766758745,30.755164766758746
M,2019-10-01,1581,957,0.7268965517241379,0.7125837676842889,2019,51406,0.030755164766758745,30.755164766758746
M,2019-11-01,1607,1003,0.7388505747126437,0.7215827338129497,2019,51406,0.031260942302454964,31.260942302454964
M,2019-12-01,1594,989,0.7135183527305282,0.699929228591649,2019,51406,0.031008053534606856,31.008053534606855
M,2020-01-01,1700,1053,0.7352941176470589,0.714867617107943,2020,51700,0.03288201160541586,32.88201160541586
M,2020-02-01,1498,972,0.7153772683858644,0.702819956616052,2020,51700,0.02897485493230174,28.974854932301742
M,2020-03-01,1949,1124,0.7272388059701492,0.7029393370856786,2020,51700,0.03769825918762089,37.69825918762089
M,2020-04-01,1284,844,0.682615629984051,0.6817447495961227,2020,51700,0.02483558994197292,24.83558994197292
M,2020-05-01,1326,845,0.7027027027027027,0.690359477124183,2020,51700,0.02564796905222437,25.64796905222437
M,2020-06-01,1492,900,0.7067740407389863,0.6923076923076923,2020,51700,0.02885880077369439,28.85880077369439
M,2020-07-01,1425,882,0.6954612005856515,0.6885245901639344,2020,51700,0.02756286266924565,27.56286266924565
M,2020-08-01,1634,1015,0.7210944395410415,0.7063326374391092,2020,51700,0.03160541586073501,31.605415860735008
M,2020-09-01,2060,1186,0.7294617563739377,0.7072152653548003,2020,51700,0.039845261121856865,39.845261121856865
M,2020-10-01,2089,1194,0.7188575361321404,0.6970227670753065,2020,51700,0.040406189555125725,40.40618955512573
M,2020-11-01,1816,1129,0.7066147859922179,0.6973440395305744,2020,51700,0.035125725338491294,35.12572533849129
M,2020-12-01,1816,1129,0.7066147859922179,0.6973440395305744,2020,51700,0.035125725338491294,35.12572533849129
M,2021-01-01,2299,1312,0.6893553223388306,0.6887139107611548,2021,51700,0.044468085106382976,44.46808510638298
M,2021-02-01,1762,1088,0.6909803921568628,0.675356921166977,2021,51700,0.034081237911025145,34.08123791102514
M,2021-03-01,2671,1442,0.7092405735528412,0.6936026936026936,2021,51700,0.05166344294003868,51.663442940038685
M,2021-04-01,2332,1327,0.7122785583384239,0.6915059927045336,2021,51700,0.0451063829787234,45.1063829787234
M,2021-05-01,1947,1205,0.6961029674651412,0.6917336394948336,2021,51700,0.03765957446808511,37.659574468085104
